tissue,cell_type,Uber Score,vesicle_score,tnt_score,winner,margin,dominance
abdominal aorta,mast cell,0.3885437817469588,0.3831229823259125,0.4406624373937904,TNT,-0.05753945506787789,marginal
adipose tissue,hematopoietic precursor cell,0.5432692454668087,0.418579475425232,0.1327458279072358,Vesicle,0.2858336475179962,strong
anterior part of tongue,natural killer cell,0.5501331056732517,0.4854742684609377,0.486207194836848,TNT,-0.00073292637591027,marginal
anterior segment of eyeball,neutrophil,0.6577208461728599,0.539385924420182,0.7242336356204241,TNT,-0.18484771120024213,strong
aorta,classical monocyte,0.5847565183858721,0.46634924721936316,0.466902183130122,TNT,-0.0005529359107588339,marginal
ascending colon,colon macrophage,0.5243122894531624,0.48394546578107,0.5923001151649004,TNT,-0.10835464938383044,moderate
bladder organ,macrophage,0.516046176724768,0.48187311344218065,0.5646552474374782,TNT,-0.08278213399529755,moderate
blood,intermediate monocyte,0.5123961390906422,0.4832537062946125,0.7033012101367153,TNT,-0.2200475038421028,strong
bone marrow,neutrophil,0.516904640956608,0.42582137198500314,0.5889511754875354,TNT,-0.16312980350253226,strong
brown adipose tissue,platelet,0.6564410020994265,0.5753645182689492,0.8113777883668494,TNT,-0.23601327009790019,strong
buccal mucosa,T cell,0.6105170761586205,0.5382609008777257,0.3265494323490832,Vesicle,0.21171146852864253,strong
cardiac atrium,monocyte,0.4715383918317736,0.4796461708417943,0.477142692958935,Vesicle,0.002503477882859262,marginal
cardiac ventricle,"CD8-positive, alpha-beta T cell",0.5143293619822851,0.37537526816791056,0.453296596368584,TNT,-0.07792132820067343,moderate
chorioretinal region,"CD8-positive, alpha-beta T cell",0.455861138191919,0.3203433396249508,0.3583073322353002,TNT,-0.037963992610349384,marginal
conjunctiva,myeloid leukocyte,0.4849730160728761,0.38451146503010214,0.4729689164974441,TNT,-0.08845745146734196,moderate
cornea,macrophage,0.5514120447534167,0.4720303930032044,0.5947464181196975,TNT,-0.12271602511649315,moderate
coronary artery,macrophage,0.5101628335412727,0.4988866828130332,0.6546953596688093,TNT,-0.1558086768557761,strong
cortex of kidney,natural killer cell,0.3310963017469369,0.2550692010048333,0.5168831114307658,TNT,-0.2618139104259325,strong
crista ampullaris,mast cell,0.5556863968155068,0.5085250788642137,0.1751366703078262,Vesicle,0.3333884085563875,strong
duodenum,monocyte,0.5299926484989799,0.5139473634204401,0.6056942557755849,TNT,-0.09174689235514477,moderate
endocrine pancreas,monocyte,0.4888665219966985,0.5218685503912067,0.8218082280060361,TNT,-0.2999396776148294,strong
endometrium,neutrophil,0.5315759268786042,0.43698096246820856,0.3846446449545799,Vesicle,0.05233631751362866,marginal
exocrine pancreas,intermediate monocyte,0.5427637850835643,0.5128008538418745,0.7409927656990348,TNT,-0.22819191185716037,strong
eye,intermediate monocyte,0.5703092134174716,0.5085398433875947,0.5920616861236485,TNT,-0.08352184273605379,moderate
eyelid,myeloid leukocyte,0.4555738414249696,0.45166370467991157,0.6051981554373673,TNT,-0.15353445075745575,strong
heart,T cell,0.5366431666096464,0.28383054667687146,0.4273312714381688,TNT,-0.14350072476129733,moderate
heart right ventricle,monocyte,0.5218311747999616,0.4006925919021004,0.5431075945597245,TNT,-0.14241500265762408,moderate
ileum,monocyte,0.5234862124906892,0.44267326170311366,0.6415356247186367,TNT,-0.198862363015523,strong
inferior vena cava,B cell,0.3942074866830566,0.20134943162535657,0.3288700921205499,TNT,-0.12752066049519334,moderate
inguinal lymph node,hematopoietic precursor cell,0.5804900198459828,0.4646148567029539,0.336933296982963,Vesicle,0.1276815597199909,moderate
jejunum,neutrophil,0.4556321030350299,0.34034585670422757,0.367862205507116,TNT,-0.027516348802888446,marginal
kidney,intermediate monocyte,0.5133915034733743,0.38410818523261936,0.6487705379373754,TNT,-0.264662352704756,strong
lacrimal gland,neutrophil,0.5154241347738421,0.31173760595773636,0.6839727141315388,TNT,-0.37223510817380245,strong
large intestine,innate lymphoid cell,0.6015988227487565,0.4972692376205434,0.6912113883366215,TNT,-0.19394215071607812,strong
left coronary artery,mast cell,0.4192255941464379,0.40206962512149236,0.3340364628500702,Vesicle,0.06803316227142214,moderate
left ovary,neutrophil,0.5319728204527259,0.43184073774152554,0.5780359184691631,TNT,-0.1461951807276376,moderate
liver,myeloid dendritic cell,0.4864647000478295,0.39192610475976297,0.6541834282020272,TNT,-0.26225732344226427,strong
lung,intermediate monocyte,0.4890406402407339,0.47200653608811327,0.6874891926308109,TNT,-0.2154826565426976,strong
lymph node,neutrophil,0.4993499694294341,0.4121577569849979,0.534472544843421,TNT,-0.12231478785842309,moderate
mammary gland,macrophage,0.4841876277102931,0.4509635543398164,0.6186833469034968,TNT,-0.16771979256368041,strong
mesenteric lymph node,classical monocyte,0.5694304730401092,0.45660666854169396,0.5380891705372026,TNT,-0.08148250199550866,moderate
mucosa of stomach,tissue-resident macrophage,0.4960134473539721,0.43377201036834523,0.407438977340582,Vesicle,0.026333033027763242,marginal
muscle of abdomen,neutrophil,0.5262973259237116,0.4118320422234597,0.4786364605235065,TNT,-0.0668044183000468,moderate
muscle of pelvic diaphragm,intermediate monocyte,0.6022661707234805,0.5487088850097843,0.7263239131121191,TNT,-0.17761502810233476,strong
muscularis mucosae of stomach,mast cell,0.4852849926477633,0.334146176311901,0.2932433180611048,Vesicle,0.040902858250796204,marginal
myometrium,monocyte,0.5600562702636342,0.590148752103981,0.7236372131580994,TNT,-0.13348846105411838,moderate
ocular surface region,"CD8-positive, alpha-beta T cell",0.324353475021837,0.21469845123122816,0.3484048082548577,TNT,-0.13370635702362954,moderate
ovary,B cell,0.3300955743646311,0.20464472187142277,0.3797955965147377,TNT,-0.17515087464331494,strong
parotid gland,tissue-resident macrophage,0.5476798792268903,0.4446665323966427,0.5864704114020511,TNT,-0.14180387900540842,moderate
posterior part of tongue,T cell,0.4871498170312534,0.430275734849887,0.4336932859658969,TNT,-0.003417551116009887,marginal
posterior segment of eyeball,natural killer cell,0.6128609755584974,0.41439377760527807,0.3186923164186034,Vesicle,0.09570146118667466,moderate
prostate gland,neutrophil,0.541317361132692,0.43662020935369467,0.5610893513269416,TNT,-0.12446914197324693,moderate
retinal neural layer,monocyte,0.4651375088750467,0.4181019363371508,0.5526501790273232,TNT,-0.13454824269017235,moderate
right cardiac atrium,monocyte,0.4478242307181915,0.3897452729095958,0.5051299416408623,TNT,-0.11538466873126652,moderate
right ovary,mast cell,0.6307189537250941,0.5862407334938711,0.594897251165053,TNT,-0.008656517671181918,marginal
sclera,classical monocyte,0.6516799279493408,0.5703544261549627,0.6121452657359887,TNT,-0.04179083958102603,marginal
sigmoid colon,colon macrophage,0.5360948378246986,0.5183479742017922,0.6645420592414826,TNT,-0.14619408503969034,moderate
skin of abdomen,neutrophil,0.4939429906708114,0.4327096706298885,0.7103002745257637,TNT,-0.2775906038958752,strong
skin of body,myeloid dendritic cell,0.4757969126270406,0.4593820086492804,0.5219440870778544,TNT,-0.06256207842857403,moderate
skin of chest,Langerhans cell,0.453625172417557,0.42019843096083775,0.5132764567240357,TNT,-0.0930780257631979,moderate
small intestine,monocyte,0.5313196161621148,0.4903651737656113,0.6441840150908265,TNT,-0.15381884132521517,strong
spleen,neutrophil,0.4989882825803375,0.39936817054516816,0.5771143893500762,TNT,-0.17774621880490804,strong
stomach,neutrophil,0.5542404789289145,0.43736025205062373,0.5086459390837416,TNT,-0.07128568703311783,moderate
stomach smooth muscle,monocyte,0.5515389824508372,0.5132307805003011,0.6117633506924719,TNT,-0.09853257019217077,moderate
subcutaneous adipose tissue,intermediate monocyte,0.5365148361609545,0.5494903866101072,0.6095195724790612,TNT,-0.060029185868954005,moderate
sublingual gland,leukocyte,0.5513730203001176,0.5564291711434428,0.7284614653275107,TNT,-0.17203229418406785,strong
submandibular gland,intermediate monocyte,0.5255236626682944,0.6143242468913142,0.5033015774888698,Vesicle,0.11102266940244432,moderate
testis,tissue-resident macrophage,0.5071104891885096,0.4319217086316208,0.6027772172741928,TNT,-0.17085550864257193,strong
thoracic aorta,neutrophil,0.5276832562869541,0.41848962141582835,0.5817512044558767,TNT,-0.16326158304004834,strong
thymus,macrophage,0.5089750659969892,0.471145957733275,0.6292178259207354,TNT,-0.15807186818746038,strong
trachea,neutrophil,0.5463038172315758,0.4773341822422708,0.5391366926988147,TNT,-0.06180251045654389,moderate
uterus,myeloid dendritic cell,0.487355951828256,0.4734077553017504,0.8515583297057308,TNT,-0.37815057440398037,strong
utricle of membranous labyrinth,neutrophil,0.5589152822262484,0.46844792495570065,0.6318754438291879,TNT,-0.16342751887348728,strong
vasculature,mature NK T cell,0.5190348494937479,0.4157392419233868,0.4519450465666961,TNT,-0.0362058046433093,marginal
